,book1,book2,book3,book4,book5,user,genre
0,3211,3503,7566,3016,8032,"78, 156, 308",Chick-lit
1,2165,8032,7566,2938,6072,"78, 156, 310",Chick-lit
2,2165,7566,3211,2610,1913,"78, 156, 411",Chick-lit
3,7566,2938,2610,3016,3503,"78, 156, 455",Chick-lit
4,2165,7566,8032,1913,2610,"78, 156, 465",Chick-lit
5,2165,2938,3211,1913,7566,"78, 156, 509",Chick-lit
6,2938,2165,3016,1711,1913,"78, 156, 647",Chick-lit
7,2165,2938,3016,1913,2610,"78, 156, 694",Chick-lit
8,2165,8032,2610,6072,1913,"78, 156, 741",Chick-lit
9,2165,3567,4218,3211,6072,"78, 156, 761",Chick-lit
10,1913,1713,2165,3016,7566,"78, 156, 777",Chick-lit
11,2938,2165,3016,1713,1913,"78, 156, 942",Chick-lit
12,2938,2165,7566,1913,2581,"78, 156, 952",Chick-lit
13,2938,7566,1713,2165,2340,"78, 156, 1063",Chick-lit
14,2938,2165,3016,1913,2610,"78, 156, 1072",Chick-lit
15,2165,3011,3016,1913,2938,"78, 156, 1111",Chick-lit
16,7566,2165,1913,3503,2938,"78, 156, 1268",Chick-lit
17,2165,2938,1713,1913,3567,"78, 156, 1417",Chick-lit
18,2165,3211,8032,1649,7566,"78, 308, 310",Chick-lit
19,2165,3211,7566,1748,2340,"78, 308, 411",Chick-lit
20,2938,3016,7566,3211,3503,"78, 308, 455",Chick-lit
21,8032,2165,2938,3211,3503,"78, 308, 465",Chick-lit
22,3211,2165,2938,4218,2610,"78, 308, 509",Chick-lit
23,2938,2069,2340,8032,3503,"78, 308, 647",Chick-lit
24,3211,3503,2938,2340,8032,"78, 308, 694",Chick-lit
25,3211,7566,2340,2075,8032,"78, 308, 741",Chick-lit
26,3211,8032,2165,2938,6072,"78, 308, 761",Chick-lit
27,3016,7566,3211,2938,3503,"78, 308, 777",Chick-lit
28,3211,2340,1542,7566,3503,"78, 308, 942",Chick-lit
29,2581,2938,2340,7566,3211,"78, 308, 952",Chick-lit
30,2938,2581,7566,3211,1748,"78, 308, 1063",Chick-lit
31,3211,7566,1649,3503,2069,"78, 308, 1072",Chick-lit
32,3011,1748,2165,3211,3016,"78, 308, 1111",Chick-lit
33,7566,3211,3503,2340,1735,"78, 308, 1268",Chick-lit
34,2938,2340,2165,1735,3211,"78, 308, 1417",Chick-lit
35,2165,3011,7566,8032,3211,"78, 310, 411",Chick-lit
36,5445,7566,4218,6293,8032,"78, 310, 455",Chick-lit
37,1649,2165,8032,1735,4218,"78, 310, 465",Chick-lit
38,2165,3211,1649,6072,2340,"78, 310, 509",Chick-lit
39,4218,5445,2165,8032,6293,"78, 310, 647",Chick-lit
40,1649,5445,2938,4218,2165,"78, 310, 694",Chick-lit
41,2165,1649,8032,4218,5445,"78, 310, 741",Chick-lit
42,2165,4218,8032,1735,3211,"78, 310, 761",Chick-lit
43,8032,5445,1649,2165,5790,"78, 310, 777",Chick-lit
44,8501,2165,4218,8032,1542,"78, 310, 942",Chick-lit
45,2581,2165,1649,2938,3011,"78, 310, 952",Chick-lit
46,2165,1649,2938,8032,2340,"78, 310, 1063",Chick-lit
47,1649,5445,8032,2165,6293,"78, 310, 1072",Chick-lit
48,2165,3011,8032,3016,1735,"78, 310, 1111",Chick-lit
